Title,Source,Location,Publisher Location,Date,Sentences,Relevant
Modi’s surgical strike impact: Realty shares tumble 20%,Businessline,NA,Chennai,2016-11-09,"According to experts, demonetisation of Rs 1,000 and Rs 500 notes are likely to hit unorganised builders and secondary (resale) property market. Housing prices could",0
"Rs 1000 &amp; Rs 500 notes ruling: PM Modi gets brickbats, bouquets over 'surgical strike' on black money [Politics and Nation]",The Economic Times,NEW DELHI,New Delhi,2016-11-09,"point"" about ""a decisive government"". Further, the ban on high-denomination notes is likely to have an impact on election expenditure in UP. The broader political|point"" about ""a decisive government"". Further, the ban on high-denomination notes is likely to have an impact on election expenditure in UP. The broader political|economy. Coming ahead of assembly elections in UP, the move is also likely to provide another campaign pitch for BJP. BJP leaders told ET that",0
Luxury brands likely to be hit after Centre's demonetisation measure,Financial Express,NA,NEW DELHI,2016-11-10,"the Centre to demonetize Rs500 and Rs1000 banknotes, luxury brands are most likely to be hit since customers may postpone spending for sometime. Experts believe",0
"Masterstroke, but will it flush out black money?",Herald,Goa,New Delhi,2016-11-10,"how unpredictable can be the human reaction to any decision. Modi and his government may have planned the demonetisation thoroughly, but the success of the",0
Luxury retailers brace for a slowdown in sales,Mint,New Delhi,New Delhi,2016-11-10,"by the government's decision to demonetize Rs500 and Rs1000 banknotes, as consumers are likely to postpone spending. Industry experts said the move is only the|by the government's decision to demonetize Rs500 and Rs1000 banknotes, as consumers are likely to postpone spending. Industry experts said the move is only the",0
Arrange camps in UP villages for exchanging currency notes: CM,The Pioneer,Lucknow,New Delhi,2016-11-10,"banks and other places to maintain law and order. After the announcement on new currency notes caught people by surprise, long queues were seen at",0
Will demonetization adversely impact GDP growth?,Mint,New Delhi,New Delhi,2016-11-10,"T.C.A. Ananth, however, said the disruption due to demonetization in the economy is unlikely to be significant. ""The rural economy has changed a lot compared",0
"Bank stocks surge, as analysts see benefits of demonetisation",Businessline,NA,Chennai,2016-11-10,"after this de-monetisation. A Centrum Wealth report summed up: “The government is likely to implement follow through measures to prevent rebuilding of parallel economy, going",2
"How does Rs2,000 note score on aesthetics?",Mint,New Delhi,New Delhi,2016-11-10,"motifs. Photo: Anik Biswas/Mint ""Yes the current demonetization and the consequential introduction of new notes is a game-changing move, but we do need to also",0
Bullion sales take a beating,The Hindu,Kerala,Chennai,2016-11-10,"common man, who doesn't have a PAN card or bank account, is likely to be affected. We hope that the demonetisation is just a beginning,",2
Two-wheeler sales may be hit,Financial Express,NA,NEW DELHI,2016-11-10,"Motorcycle and scooter sales in November are likely to be adversely impacted due to the demonetisation of R500 and R1,000",0
"Industry, trade hails govt decision on currency notes; Fitch fears negative growth",United News of India,New Delhi,New Delhi,2016-11-10,"the Indian government's recent move to demonetise currency notes of higher denominations is likely to have a negative impact on the homebuilders, at least in",0
Demonitisation after-shocks: Markets deserted; traders wax eloquent on Modi move,Free Press Journal,NA,NEW DELHI,2016-11-10,has been affected badly due to demonetisation. It is teething problem which is likely to persist for month. The situation is likely to normalise after,0
"Rs 500 and Rs 1,000 notes banned: How Modi kept his black money masterstroke a secret for 6 months [Policy]",The Economic Times,NA,New Delhi,2016-11-10,"point"" about ""a decisive government"". Further, the ban on high-denomination notes is likely to have an impact on election expenditure in UP. The broader political|point"" about ""a decisive government"". Further, the ban on high-denomination notes is likely to have an impact on election expenditure in UP. The broader political|economy. Coming ahead of assembly elections in UP, the move is also likely to provide another campaign pitch for BJP. BJP leaders told ET that",0
US election: Mutual fund investors should stay focused on goals [Invest],The Economic Times,NA,New Delhi,2016-11-10,"goals, you don't have anything to worry,"" he adds. The real estate sector is likely to feel the pinch because the demonetisation of Rs 500|to feel the pinch because the demonetisation of Rs 500 and Rs 1,000 is likely to tighten liquidity and curb flow of black money into",0
promo1,The Hindu,Andhra Pradesh,Chennai,2016-11-10,"down The demonetisation of Rs. 500 and Rs. 1,000 currency notes is likely to impact the real estate sector in the State.",0
Realtors’ dreams come crashing down,The Hindu,Andhra Pradesh,Chennai,2016-11-10,"The demonetisation of Rs. 500 and Rs. 1,000 currency notes is likely to impact the real estate sector in the State. According to Gadde|the government takes market value into consideration during registration, the demonetisation is unlikely to impact the registrations, says Vijayawada (East) Sub-Registrar G. Balakrishna. About Rs.",0
"Demonetisation: Short-term hiccup, long-term positive [Finance]",The Economic Times,NA,New Delhi,2016-11-10,"The demonetisation of Rs 500 and Rs 1,000 notes is likely to be disruptive in the short run, but in the medium to",0
"CM, Tejashwi hail PM move [Patna]",The Times of India,Patna,New Delhi,2016-11-10,"Modi government's decision to demonetize Rs1000 and Rs500 currency notes. ""People are likely to face some difficulties during initial days, but, by and large, it",0
"How does the Rs2,000 currency note score on aesthetics?",Mint,New Delhi,New Delhi,2016-11-10,"motifs. Photo: Anik Biswas/Mint ""Yes the current demonetization and the consequential introduction of new notes is a game-changing move, but we do need to also",0
"Demonetisation effect On realty sector: Lower prices, more transparent financing likely",Indian Express,In September 2008,NEW DELHI,2016-11-10,"India & South East Asia, CBRE Group Inc, said, ""While it may seem chaotic initially, the move is likely to prove structurally positive for the",0
"How does the Rs2,000 note score on aesthetics?",Mint,New Delhi,New Delhi,2016-11-11,"of demonetization in 1978. ""Yes the current demonetization and the consequential introduction of new notes is a game-changing move, but we do need to also",0
TMC to raise demonetisation in Winter session of Parliament [India],The Times of India,NEW DELHI,New Delhi,2016-11-11,"joining the Congress in attacking the government over the move, it is possible that the parties will align with TMC in taking on the treasury",0
Govt must take steps to ensure black money is not laundered: SIT chief,Businessline,NA,Chennai,2016-11-11,"The cleansing, which is achieved through this demonetisation measure, is likely to be short-lived in case systemic steps are not taken to ensure|cash again The cleansing, which is achieved through this demonetisation measure, is likely to be short-lived in case systemic steps are not taken to ensure|view that the cleansing which is achieved through this demonetisation measure is likely to be short lived in case systemic steps are not taken to",0
"Demonetisation may bleed TS of Rs 2,000 cr. per month",The Hindu,Front Page,Chennai,2016-11-11,"Revenue from land registration likely to decline by 90 per cent on account of demonetisation Telangana government|decline by 90 per cent on account of demonetisation Telangana government is likely to incur a loss of up to Rs.2,000 crore per month on|Thursday. Besides, it is feared that the revenue from land registration is likely to decline by 90 per cent on account of demonetisation.. Hitherto, income",0
'Black out' to be key BJP issue in polls,The Pioneer,New Delhi,New Delhi,2016-11-11,the war chest of both the regional parties for the UP polls is likely to be hit hard with the demonetisation move. Dismissing BSP and,0
"Govt. investigates Rs. 2,000 note design leak",The Hindu,National,Chennai,2016-11-11,"after the demonetisation announcement by the Prime Minister on Tuesday night. The new notes with security features will be far more difficult to counterfeit, says",0
Demonetization of currency hits sales in book fairs [Bhubaneswar],The Times of India,BHUBANESWAR,New Delhi,2016-11-11,"come due to the demonetization issue. Hope they will come after getting new currency,"" he added.",0
BJP leaked demonetisation info to benefit party: CPI-M,IANS English,Kolkata,Noida,2016-11-11,"crisis before the impending elections in Punjab and Uttar Pradesh. ""It is possible that BJP leaders were well aware of this ban and that is",0
Stalin welcomes demonetization of high denomination notes [Coimbatore],The Times of India,COIMBATORE,New Delhi,2016-11-11,"decision to do away with the currency notes of bigger denominations is likely to help economy of the country, DMK welcomes the move,'' Stalin said.",0
"Notes come to nought! Long queues, tiffs in bank branches as people rush for cash [Banking]",The Economic Times,MUMBAI | KOLKATA,New Delhi,2016-11-11,outside bank branches across India on Thursday as people lined up to withdraw new currency notes for the first time after the shock demonetisation that,0
Unplanned execution leads to mismanagement and inconvenience,Free Press Journal,Indore,NEW DELHI,2016-11-12,"shut the banks before the announcement and send the money. Issuing of new currency notes is a routine activity, which they could have done prior",0
Realtors dread Govt. move to hike land rates,The Hindu,Telangana,Chennai,2016-11-12,directive of the High Court on the Mallannasagar land acquisition case is likely to be impacted by the Centre's demonetisation of Rs 500 and Rs,0
The cycles of demonetisation: A look back at two similar experiments in 1946 and 1978 [Policy],The Economic Times,NA,New Delhi,2016-11-12,"to power, with the Jan Sangh as part of the coalition, demonetisation was always likely to be on the agenda. Again, it was put into",0
"Scrapping Rs 500, Rs 1,000 notes a bold decision: Blackmoney SIT [Politics and Nation]",The Economic Times,NEW DELHI,New Delhi,2016-11-12,"has said. ""The cleansing which is achieved through this demonetisation measure is likely to be short lived in case systemic steps are not taken to",0
"M-WALLETS TO SWELL, POST DEMONETISATION",India Business Insight,NA,Bangalore,2016-11-12,mobile wallet transactions. The announcement of demonetisation on 8 Nov 2016 is unlikely to immediately translate into a sizeable jump in revenue from wallet services.,0
Modi cuts the Gordian's knot of black money (Column: Political Circus),IANS English,NA,Noida,2016-11-12,habit of spending lavishly on friends and families. The first signs of demonetisation are likely to be noticed in the forthcoming assembly elections in Uttar,0
IIP rebounds but demonetisation a dampener,The Hindu,Business,Chennai,2016-11-12,"a strong turnaround. Consumer durables A healthy contribution by consumer durables is likely to be short-lived, with experts saying that the government's demonetisation move will",0
Chaos over demonetization: Cops lathi charge public at Muzaffarnagar bank [Meerut],The Times of India,MEERUT,New Delhi,2016-11-12,MEERUT: The chaos over demonetization and the rush to get new currency notes took an ugly turn on Friday afternoon when local residents,0
Rs 3 crore deposit ahead of Rs 500 & Rs 1000 note ban puts West Bengal BJP in a spot [Politics and Nation],The Economic Times,KOLKATA,New Delhi,2016-11-13,"was deposited on November 1 and Rs 1.25 crore on November 5. ""It's possible that BJP members were well aware of this ban and that",0
"Demonetization hits matka, some agents take 'holiday' [Goa]",The Times of India,MAPUSA,New Delhi,2016-11-13,"MAPUSA: The government may have failed to curb matka, but the recent demonetization move has",0
Reprogrammed campaigner,The Telegraph (India),Nov. 13,NEW DELHI,2016-11-13,"that the economics of demonetisation ""is complex and the collateral damage is likely to outstrip its benefits"".As Modi addressed audiences in Goa's Panaji and Karnataka's",0
"""Demonetisation a masterstroke"", Give it time to play out: CII",United News of India,New Delhi,New Delhi,2016-11-13,"-- The recent move by the government to demonetise high denomination notes is likely to have far-reaching impact, striking a blow at the heart of",0
Ramadoss against Devanagiri script in new notes,The Hindu,Tamil Nadu,Chennai,2016-11-13,"government of using demonetisation to favour Hindi over other languages on the new currency. In a statement, he said that the efforts to abolish black",0
Demonetisation will attack heart of black economy: CII,IANS English,New Delhi,Noida,2016-11-13,"The move to demonetise high denomination notes is a ""masterstroke"" that is likely to strike a blow at the heart of the illegal economy in",0
Cash crunch: Few marriages put off [Patna],The Times of India,Sasaram,New Delhi,2016-11-13,Kaimur districts are likely to reschedule marriages because of non-availability of sufficient new currency with them after demonetization of Rs1000 and Rs500 notes. The 'lagan',0
"Demonetisation a body blow to corruption, claims CII",The Pioneer,Raipur,New Delhi,2016-11-13,"by the Government to demonetise high denomination notes of Rs500 and Rs1000 is likely to have far-reaching impact, striking a blow at the heart of",0
50% fall in OPD patients at pvt hospitals [Nagpur],The Times of India,NAGPUR,New Delhi,2016-11-13,"notes after two days of the announcement. Also they do not have new notes,"" said Dr Vidula Kapre.",0
"Demonetisation a masterstroke, give it time to play out: CII",United News of India,Hyderabad,New Delhi,2016-11-13,"-- The Centre's move of demonetising Rs 500 and Rs 1,000 notes is likely to have far-reaching consequences, striking a blow at the heart of",0
Demonetisation to hurt NCR developers the most,The Hindustan Times,India,New Delhi,2016-11-13,"reliance on cash-based transactions, says a report by. Fitch Ratings titled Currency demonetisation likely to hurt Indian homebuilders. The pace of project execution across the",0
CII sees a severe blow to illegal economy,The Pioneer,Bhopal,New Delhi,2016-11-14,"-- The recent move by the Government to demonetise high denomination notes is likely to have far-reaching impact, striking a blow at the heart of",0
Demonetisation effect: Free parking at all Indian airports till November 21,Financial Express,NA,NEW DELHI,2016-11-14,"a step by which Rs 500 & Rs 1,00 notes will be replaced with new currency notes. While the policy adopted by the government had",0
Industry foresees stronger economy,The Hindu,Kerala,Chennai,2016-11-14,"The decision by the government to demonetise high denomination notes is likely to have a far-reaching impact, striking a blow at the heart of",0
Sunday frenzy hits cash shortage wall,The Telegraph (India),QUEUES FOR M,NEW DELHI,2016-11-14,"but no reports of any grievous injury,"" special commissioner Sanjay Beniwal said.Maoist alertMaoist activities are likely to suffer because the demonetisation would make it difficult",0
Demonetisation: Mamata Banerjee criticises PM Narendra Modi again; says his statement 'bad in taste',Financial Express,NA,NEW DELHI,2016-11-14,"has hit the PM,"" she said. West Bengal Chief Minister Mamta Banerjee once again criticised Prime Minister Narendra Modi for Centre's demonetisation move on Monday.",0
Cash crunch still keeps people in its grip,The Hindu,Kerala,Chennai,2016-11-14,"hit for another day as people desperately queue up before banks for new currency notes Woes of the public following the demonetisation of Rs.1,000 and",0
"Demonetisation: Opposition seeks to corner BJP in Parliament before Punjab, UP elections",Indian Express,NA,NEW DELHI,2016-11-14,"successful step in digging out huge amounts of dirty money. But, it is also possible that the timing of the move may come back to",0
Demonetisation effect: Sunday no Funday for Indoreans,Free Press Journal,NA,NEW DELHI,2016-11-14,"and deposit demonetised currency notes. However, the planning could have been better if new notes would have been sent to banks prior to demonetisation of",0
"Congress, 7 other parties plan joint strategy to take on Centre",Businessline,NA,Chennai,2016-11-14,in banks ahead of the demonetisation decision. Another issue the Opposition is likely to flag is the alleged illegality of the decision. “This is a,0
Demonetisation: Opposition parties attack PM Narendra Modi; discuss joint strategy to counter government,Financial Express,NA,NEW DELHI,2016-11-14,session at his residence. Trinamool Congress West Bengal Chief Minister Mamta Banerjee once again criticised Prime Minister Narendra Modi for Centre's demonetisation move on Monday.,0
Demonetisation a masterstroke; give it time to play out: CII,Free Press Journal,NA,NEW DELHI,2016-11-14,"The move to demonetise high denomination notes is a ""masterstroke"" that is likely to strike a blow at the heart of the illegal economy in",0
Film industry won't be affected by demonetisation: Om Puri,IANS English,Mumbai,Noida,2016-11-15,"cheque,"" Om said. He feels it is industrialists and politicians who are likely to be most hard hit by the demonetisation. ""And that too, not",0
"Mamata, Kejriwal to petition President on demonetisation",IANS English,New Delhi,Noida,2016-11-15,"Sitaram Yechury to express concern over the demonetisation move, the Marxists are unlikely to be part of the Trinamool march. Replying to media queries on",0
"Demonetisation policy: Citing lack of adequate cash, farmers across the nation express concern ahead of cropping season",Financial Express,NA,NEW DELHI,2016-11-15,"denomination Rs 500 and Rs 1,000 had been banned and replaced with new notes. Following the note ban, common people had been facing trouble, with",0
"Cops, bankers take much needed break as banks shut [Meerut]",The Times of India,Meerut,New Delhi,2016-11-15,"work on Tuesday."" The chaos over demonetization and the rush to get new currency notes took an ugly turn on Friday afternoon after local residents",0
"After temporary relief, potato set to pinch again [Kolkata]",The Times of India,KOLKATA,New Delhi,2016-11-15,"following the demonetisation of 500 and 1000-rupee notes, the potato prices are likely to soar again as the limit of credit the stakeholders offered each",0
"Sales will fully recover once there is enough cash in the market, says Adi Godrej",Businessline,NA,Chennai,2016-11-15,"will be beneficial. Particularly, the timing (of demonetisation) is such that GST is likely to be introduced from April 1. GST also makes it very|normal. The government must make very special efforts to see that reintroduction of new notes is very quick. How does this demonetisation compare with that",0
Demonetisation: Small steel companies in secondary sector likely to be affected [Steel],The Economic Times,KOLKATA,New Delhi,2016-11-15,"bracing for uncertainty over the next fortnight with the government's demonetisation move likely to hit smaller companies in the secondary steel sector, which mostly do",0
GOLD IMPORTS MAY RISE IN NOV ON DEMONETISATION MOVE,India Business Insight,NA,Bangalore,2016-11-15,"Gold imports are likely to increase in Nov 2016 following demonetisation of Rs500 and Rs1,000 bank",0
